Company,Sector,Vague,Assertiveness,Readability,Scope1,Scope2,Scope3,MSCI,Climate,Energy,GHG,OtherEnv,Waste,Water,Biodiversity,Risk
GreenTech Ltd,Energy,0.71,0.65,0.48,12000000,8500000,45000000,0.60,0.35,0.85,0.75,0.00,0.82,0.83,0.65,0.62
EcoPower Corp,Energy,0.63,0.60,0.52,11000000,8000000,42000000,0.65,0.40,0.82,0.72,0.70,0.00,0.80,0.55,0.55
CleanFuture Inc,Energy,0.55,0.50,0.45,9000000,7000000,38000000,0.70,0.45,0.78,0.68,0.69,0.75,0.00,0.00,0.48
SustainBuild,Construction,0.75,0.68,0.60,15000000,10000000,50000000,0.55,0.00,0.80,0.74,0.72,0.81,0.82,0.45,0.66
UrbanGreen,Construction,0.60,0.52,0.55,13000000,9000000,46000000,0.62,0.38,0.79,0.00,0.71,0.76,0.78,0.00,0.51
EcoInfra Ltd,Construction,0.68,0.58,0.57,14000000,9500000,48000000,0.58,0.34,0.00,0.73,0.72,0.79,0.80,0.50,0.59
BioLife Pharma,Healthcare,0.50,0.48,0.42,6000000,5000000,20000000,0.75,0.50,0.76,0.65,0.68,0.00,0.74,0.00,0.44
MediGreen,Healthcare,0.56,0.51,0.46,6500000,5200000,22000000,0.72,0.00,0.77,0.66,0.69,0.73,0.75,0.60,0.49
HealthEco Corp,Healthcare,0.61,0.55,0.49,7000000,5500000,25000000,0.68,0.42,0.78,0.69,0.00,0.74,0.76,0.00,0.53
FinGreen Bank,Finance,0.66,0.60,0.53,3000000,2000000,10000000,0.67,0.36,0.80,0.71,0.72,0.75,0.00,0.00,0.58
EcoFinance Ltd,Finance,0.52,0.48,0.44,2500000,1800000,9000000,0.73,0.48,0.75,0.65,0.67,0.00,0.72,0.00,0.46
GreenInvest,Finance,0.70,0.63,0.50,3200000,2200000,11000000,0.60,0.33,0.00,0.73,0.73,0.78,0.79,0.40,0.61
AutoEco Motors,Automobile,0.72,0.67,0.58,20000000,15000000,70000000,0.57,0.31,0.83,0.75,0.00,0.80,0.81,0.00,0.64
DriveGreen,Automobile,0.65,0.59,0.55,18000000,14000000,65000000,0.62,0.00,0.80,0.72,0.72,0.77,0.78,0.00,0.57
EcoDrive Ltd,Automobile,0.60,0.53,0.52,17000000,13000000,60000000,0.66,0.40,0.78,0.00,0.71,0.75,0.76,0.00,0.52
RetailGreen,Retail,0.54,0.49,0.45,5000000,4000000,18000000,0.71,0.48,0.00,0.66,0.68,0.71,0.73,0.00,0.47
EcoMart,Retail,0.58,0.52,0.48,5200000,4200000,19000000,0.69,0.45,0.76,0.67,0.69,0.00,0.74,0.50,0.50
GreenCart,Retail,0.62,0.57,0.50,5500000,4500000,20000000,0.65,0.41,0.78,0.69,0.00,0.74,0.75,0.00,0.55
AgriEco Ltd,Agriculture,0.69,0.61,0.54,16000000,12000000,55000000,0.59,0.00,0.81,0.73,0.72,0.78,0.79,0.75,0.60
FarmGreen,Agriculture,0.55,0.50,0.47,14000000,11000000,50000000,0.67,0.42,0.00,0.68,0.69,0.73,0.74,0.70,0.48
EcoHarvest,Agriculture,0.61,0.56,0.49,15000000,11500000,52000000,0.63,0.39,0.79,0.00,0.70,0.75,0.76,0.68,0.53
TechGreen,Technology,0.51,0.47,0.43,4000000,3000000,15000000,0.74,0.50,0.76,0.65,0.67,0.71,0.00,0.00,0.45
GreenSoft,Technology,0.56,0.50,0.45,4200000,3200000,16000000,0.71,0.47,0.77,0.66,0.00,0.72,0.73,0.00,0.49
EcoSystems Tech,Technology,0.62,0.55,0.48,4500000,3500000,17000000,0.66,0.00,0.79,0.69,0.70,0.74,0.75,0.35,0.54
FutureGreen AI,Technology,0.67,0.60,0.52,4800000,3800000,18000000,0.62,0.38,0.00,0.72,0.71,0.76,0.77,0.00,0.59